category,site,accuracy,precision,recall,f1
auto,aol,0.7032966955681682,0.9999999843750003,0.7032966955681682,0.8258059561293167
auto,autobytel,0.7987421333412444,0.9999999921259843,0.7987421333412444,0.8881113881610647
auto,automotive,0.8258064462851197,0.8258064462851197,0.9999999921875001,0.904593137734542
auto,autoweb,0.6666666631944445,0.9999999921875001,0.6666666631944445,0.7999995150002879
auto,carquotes,0.9999999921875001,0.9999999921875001,0.9999999921875001,0.9999994921877502
auto,cars,0.44976076339827387,0.6184210485630194,0.6225165521687646,0.6204615421150104
auto,kbb,0.6358974326364234,0.7798742089316087,0.7749999951562501,0.7774289622157087
auto,motortrend,0.5485714254367348,0.8648648570732896,0.59999999625,0.7084865959889467
auto,msn,0.20811518297367124,0.21662125311087022,0.8412698368186782,0.34452838430463295
auto,yahoo,0.49999999739583334,0.59999999625,0.749999994140625,0.6666661682102423
book,abebooks,0.9999999975609756,0.9999999975609756,0.9999999975609756,0.9999994975612256
book,amazon,0.9537572199204785,0.9537572199204785,0.999999993939394,0.976330855449995
book,barnesandnoble,0.9688473490067061,0.9688473490067061,0.999999996784566,0.9841767122008228
book,bookdepository,0.9698795122296415,0.9698795122296415,0.99999999378882,0.9847089742167902
book,booksamillion,0.9800994976114453,0.9800994976114453,0.9999999949238579,0.989949243819853
book,borders,0.9819277049281464,0.9819277049281464,0.9999999938650307,0.9908809529847961
book,buy,0.9940119700957367,0.9940119700957367,0.9999999939759037,0.996996491013787
book,christianbook,0.9540229830228565,0.9540229830228565,0.9999999939759037,0.976470082768422
book,deepdiscount,0.9999999968152866,0.9999999968152866,0.9999999968152866,0.9999994968155366
book,waterstones,0.9999999941860466,0.9999999941860466,0.9999999941860466,0.9999994941862965
camera,amazon,0.0,0.0,0.0,0.0
camera,beachaudio,0.3669354823913892,0.4866310134404759,0.5986842065876039,0.5368726585049937
camera,buy,0.5101010075247424,0.7163120516573613,0.639240502283288,0.6755847813786522
camera,compsource,0.0,0.0,0.0,0.0
camera,ecost,0.9999999895833335,0.9999999895833335,0.9999999895833335,0.9999994895835835
camera,jr,0.3076923070348455,0.3341067277630934,0.7955801061017673,0.4705878171914059
camera,newegg,0.5095541368818208,0.7142857079081634,0.63999999488,0.6751049810397315
camera,onsale,0.7227722700715618,0.935897423898751,0.7604166587456598,0.8390799554765764
camera,pcnation,0.3422459874746204,0.6666666597222223,0.41290322314255984,0.5099596829261049
camera,thenerds,0.29090908958677686,0.6666666597222223,0.3404255301041195,0.450703774648331
job,careerbuilder,0.5163934383902177,0.7241379227110584,0.6428571362973762,0.6810805754861206
job,dice,0.9999999921875001,0.9999999921875001,0.9999999921875001,0.9999994921877502
job,hotjobs,0.2745098025759323,0.5599999944,0.3499999978125,0.43076875408336
job,job,0.37566137367374935,0.7099999929,0.4437499972265625,0.5461533685802916
job,jobcircle,0.9999999921875001,0.9999999921875001,0.9999999921875001,0.9999994921877502
job,jobtarget,0.9999999921875001,0.9999999921875001,0.9999999921875001,0.9999994921877502
